event_id,spatial_group,dist_to_facility,facility_category_encoded,peak_frp_mw,mean_frp_mw,frp_variance,max_brightness_k,duration_hours,day_night_ratio,historical_active_days_90d,historical_peak_frp,pct_cropland,pct_forest,pct_urban,is_industrial_zone,label,tier,label_source
EVT-IN-KAR-2D8D08C5,df3c5512-1ef8-4adc-8ad3-b86592dbed4e,252.78035822,32.0,1.88,1.1260714285714286,0.1461609374999999,304.53,31.96524634833333,0.0,1.0,1.81,0.05,0.1,0.85,1.0,IND_ROUTINE,Tier_A_RuleDerived,nominal_steady_furnace_routine
EVT-IN-ASS-F0E110F5,spatial_grid_56_189,116970.26969704,0.0,4.26,4.26,0.0,346.8,79.23475365166667,1.0,0.0,0.0,0.15,0.8,0.05,0.0,WILDFIRE,Tier_A_RuleDerived,forest_canopy_fire
EVT-IN-TAM-C816A55D,spatial_grid_23_157,69168.30951946,0.0,6.34,6.34,0.0,334.69,58.80142031833333,1.0,0.0,0.0,0.15,0.8,0.05,0.0,WILDFIRE,Tier_A_RuleDerived,forest_canopy_fire
EVT-IN-WES-E340AA69,spatial_grid_47_174,11840.06230958,0.0,0.31,0.31,0.0,296.94,75.68191301499999,0.0,0.0,0.0,0.05,0.1,0.85,1.0,IND_ROUTINE,Tier_A_RuleDerived,nominal_steady_furnace_routine
EVT-IN-ODI-507EA497,spatial_grid_41_170,7466.4302004,0.0,17.78,17.779999982605226,16.343060937500002,301.97,76.64857968166666,0.375,2.0,9.71,0.05,0.1,0.85,1.0,IND_FLARE,Tier_A_RuleDerived,elevated_industrial_flare
EVT-IN-CHH-0011,abc63f94-66b1-4b21-84ab-89de5f990dc2,138.30322288,72.0,290.2,255.4,0.0,331.0,18.0,0.5,0.0,0.0,0.05,0.1,0.85,1.0,IND_FIRE,Tier_A_RuleDerived,high_frp_industrial_fire
EVT-IN-TAM-85976635,spatial_grid_20_154,7954.12115703,0.0,2.48,1.455,1.050625,320.12,0.6,0.0,0.0,0.0,0.15,0.8,0.05,0.0,WILDFIRE,Tier_A_RuleDerived,forest_canopy_fire
EVT-IN-ASS-016041B7,spatial_grid_49_185,45969.00260735,0.0,4.53,4.53,0.0,297.19,40.568086985,0.0,0.0,0.0,0.15,0.8,0.05,0.0,WILDFIRE,Tier_A_RuleDerived,forest_canopy_fire
EVT-IN-TAM-0D40D99F,spatial_grid_21_157,83366.15391025,0.0,8.61,8.61,0.0,340.1,86.868086985,1.0,0.0,0.0,0.1,0.05,0.85,0.0,OTHER_UNCERTAIN,Tier_A_RuleDerived,transient_unassociated
EVT-IN-TAM-F6FB27B7,spatial_grid_21_157,79827.49513307,0.0,3.38,3.38,0.0,335.91,176.18475365166665,1.0,0.0,0.0,0.1,0.05,0.85,0.0,OTHER_UNCERTAIN,Tier_B_HardNegative,hard_neg_urban_non_ind
EVT-IN-RAJ-8C7511CB,7dc1e35e-b354-42d0-84cb-2283581a54de,1043.64865799,32.0,0.54,0.4666666666655912,0.003025,299.8,20.898579681666664,0.0,0.0,0.0,0.05,0.1,0.85,1.0,IND_ROUTINE,Tier_A_RuleDerived,nominal_steady_furnace_routine
EVT-IN-TAM-3EA58625,spatial_grid_17_155,12981.67916207,0.0,4.11,4.075,0.001225,336.6,0.0,1.0,0.0,0.0,0.15,0.8,0.05,0.0,WILDFIRE,Tier_A_RuleDerived,forest_canopy_fire
EVT-IN-NON-77D74979,670e17f4-7bf8-4120-849b-09f23c4db3f8,3192.55553259,72.0,9.96,9.96,0.0,331.24,3.798579681666667,1.0,0.0,0.0,0.05,0.1,0.85,1.0,IND_ROUTINE,Tier_A_RuleDerived,nominal_steady_furnace_routine
EVT-IN-TAM-483650BC,spatial_grid_18_154,29073.1574501,0.0,2.32,2.32,0.0,336.91,24.48475365166667,1.0,0.0,0.0,0.15,0.8,0.05,0.0,WILDFIRE,Tier_A_RuleDerived,forest_canopy_fire
EVT-IN-ODI-AF694E7B,591982fa-5c59-440f-ac36-368f8db0d798,3211.7793283,72.0,3.38,3.085,0.0870249999999999,330.93,21.201420318333334,1.0,0.0,0.0,0.05,0.1,0.85,1.0,IND_ROUTINE,Tier_A_RuleDerived,nominal_steady_furnace_routine
EVT-IN-ODI-0019,fa0fcd95-8eba-4bf6-b02a-9e894857d3b8,135.94332047,32.0,149.3,131.4,0.0,314.0,12.0,0.5,0.0,0.0,0.05,0.1,0.85,1.0,IND_FLARE,Tier_A_RuleDerived,elevated_industrial_flare
EVT-IN-ASS-3CB963C9,spatial_grid_50_184,30400.05566012,0.0,4.29,4.29,0.0,296.28,16.251420318333334,0.0,0.0,0.0,0.15,0.8,0.05,0.0,WILDFIRE,Tier_A_RuleDerived,forest_canopy_fire
EVT-IN-TAM-0321C80B,spatial_grid_18_155,14052.14411277,0.0,4.69,2.9100000000000006,2.0019142857142858,350.61,0.5152463483333334,1.0,0.0,0.0,0.15,0.8,0.05,0.0,WILDFIRE,Tier_A_RuleDerived,forest_canopy_fire
EVT-IN-TEL-67B242BA,92bb1119-6df4-4460-986d-e9f180226882,1399.27770865,32.0,0.9,0.9,0.0,308.66,90.318086985,0.0,0.0,0.0,0.05,0.1,0.85,1.0,IND_ROUTINE,Tier_A_RuleDerived,nominal_steady_furnace_routine
EVT-IN-TAM-81B3880C,spatial_grid_19_156,19960.75084132,0.0,4.18,4.179999994933604,0.3467999999999999,338.34,78.18475365166667,1.0,0.0,0.0,0.1,0.05,0.85,0.0,OTHER_UNCERTAIN,Tier_B_HardNegative,hard_neg_urban_non_ind
EVT-IN-TAM-5446586B,spatial_grid_18_154,4441.20719899,0.0,9.51,9.51,0.0,367.0,0.0,1.0,0.0,0.0,0.15,0.8,0.05,0.0,WILDFIRE,Tier_A_RuleDerived,forest_canopy_fire
EVT-IN-CHH-000A,499e1b3f-a3e9-4699-acdd-244cc64e1047,67.32266682,32.0,291.6,256.6,0.0,346.8,2.0,0.5,0.0,0.0,0.05,0.1,0.85,1.0,IND_FIRE,Tier_A_RuleDerived,high_frp_industrial_fire
EVT-IN-TAM-0B555303,spatial_grid_24_153,15182.75426783,0.0,3.7,3.7000000000000006,1.972152263052529e-31,338.02,74.18475365166667,1.0,0.0,0.0,0.15,0.8,0.05,0.0,WILDFIRE,Tier_A_RuleDerived,forest_canopy_fire
EVT-IN-TAM-4AB28820,spatial_grid_18_155,40632.04063185,0.0,1.32,0.62,0.12252,314.42,66.86524634833334,0.0,0.0,0.0,0.15,0.8,0.05,0.0,WILDFIRE,Tier_A_RuleDerived,forest_canopy_fire
EVT-IN-TAM-9C810A8A,spatial_grid_21_157,76373.30028861,0.0,2.33,2.33,0.0,331.45,23.548579681666663,1.0,0.0,0.0,0.1,0.05,0.85,0.0,OTHER_UNCERTAIN,Tier_B_HardNegative,hard_neg_urban_non_ind
EVT-2026-84F8D0,8a4531ec-6631-421e-bda2-81d9735a6f1f,3483.10734635,32.0,2.46,2.335,0.015625,304.51,0.0,0.0,0.0,0.0,0.05,0.1,0.85,1.0,IND_ROUTINE,Tier_A_RuleDerived,nominal_steady_furnace_routine
EVT-IN-ASS-2D8D367B,spatial_grid_54_190,4866.04318399,0.0,1.76,1.76,0.0,312.89,19.318086985,0.0,0.0,0.0,0.15,0.8,0.05,0.0,WILDFIRE,Tier_A_RuleDerived,forest_canopy_fire
EVT-IN-TAM-CAA1AB8E,spatial_grid_16_155,9143.481717,0.0,8.3,8.3,0.0,343.41,171.18475365166665,1.0,0.0,0.0,0.15,0.8,0.05,0.0,WILDFIRE,Tier_A_RuleDerived,forest_canopy_fire
EVT-2026-7F5325,8de15edc-4114-4802-8e8f-40218a58e589,397.92742218,32.0,0.97,0.78,0.0361,306.77,0.75,0.0,0.0,0.0,0.05,0.1,0.85,1.0,IND_ROUTINE,Tier_A_RuleDerived,nominal_steady_furnace_routine
EVT-2026-4B851F,260c913d-b8b3-49bc-919f-7d880bcd2ff2,929.4001897,72.0,3.24,3.24,0.0,327.01,0.0,0.0,0.0,0.0,0.05,0.1,0.85,1.0,IND_ROUTINE,Tier_A_RuleDerived,nominal_steady_furnace_routine
EVT-IN-TAM-DEAABDC3,spatial_grid_19_154,20827.10420648,0.0,0.88,0.778,0.0080159999999999,301.05,5.418086985,0.0,0.0,0.0,0.15,0.8,0.05,0.0,WILDFIRE,Tier_A_RuleDerived,forest_canopy_fire
EVT-2026-83F951,591982fa-5c59-440f-ac36-368f8db0d798,766.92093661,72.0,5.23,5.23,0.0,334.29,0.0,1.0,0.0,0.0,0.05,0.1,0.85,1.0,IND_ROUTINE,Tier_A_RuleDerived,nominal_steady_furnace_routine
EVT-IN-ODI-67720F9D,c1497182-40e9-421f-a67e-f55783ab0fe5,566.22380828,72.0,4.14,4.14,0.0,307.72,64.45142031833333,0.0,0.0,0.0,0.05,0.1,0.85,1.0,IND_ROUTINE,Tier_A_RuleDerived,nominal_steady_furnace_routine
EVT-IN-ODI-0004,13205ae7-ed59-4dde-bdb1-bc1924359027,255.40000305,92.0,266.0,234.1,0.0,362.5,12.0,0.5,0.0,0.0,0.05,0.1,0.85,1.0,IND_FIRE,Tier_A_RuleDerived,high_frp_industrial_fire
EVT-IN-KAR-7701892F,0bf568bb-b5b5-4845-b61f-12d02a7ab8d1,500.79882045,32.0,2.13,1.1546774193548386,0.2327,296.09,96.1,0.0,1.0,1.69,0.05,0.1,0.85,1.0,IND_ROUTINE,Tier_A_RuleDerived,nominal_steady_furnace_routine
EVT-IN-TAM-E024C9B7,spatial_grid_23_156,69344.32441457,0.0,2.19,2.19,0.0,330.64,63.91524634833333,1.0,0.0,0.0,0.15,0.8,0.05,0.0,WILDFIRE,Tier_A_RuleDerived,forest_canopy_fire
EVT-IN-TEL-000B,88a685c7-59f2-49cb-9505-1e6b87e91ebe,131.71012191,32.0,192.4,169.3,0.0,339.5,12.0,0.5,0.0,0.0,0.05,0.1,0.85,1.0,IND_FIRE,Tier_A_RuleDerived,high_frp_industrial_fire
EVT-IN-TAM-0A39C66D,spatial_grid_24_157,28223.79095138,0.0,1.07,1.07,0.0,302.25,85.06808698500001,0.0,0.0,0.0,0.15,0.8,0.05,0.0,WILDFIRE,Tier_A_RuleDerived,forest_canopy_fire
EVT-IN-KAR-5B17FB7C,df3c5512-1ef8-4adc-8ad3-b86592dbed4e,341.79029879,32.0,1.81,1.4799999771515528,0.1276472222222222,305.59,54.03475365166666,0.0,0.0,0.0,0.05,0.1,0.85,1.0,IND_ROUTINE,Tier_A_RuleDerived,nominal_steady_furnace_routine
EVT-IN-ASS-D2A7923E,spatial_grid_56_190,110548.50319524,0.0,4.86,4.86,0.0,329.86,70.281913015,1.0,0.0,0.0,0.15,0.8,0.05,0.0,WILDFIRE,Tier_A_RuleDerived,forest_canopy_fire
EVT-IN-ASS-C5CEEE37,spatial_grid_54_190,8427.73327708,0.0,3.02,2.307666666666667,0.2102543209876543,306.89,112.318086985,0.0,0.0,0.0,0.15,0.8,0.05,0.0,WILDFIRE,Tier_A_RuleDerived,forest_canopy_fire
EVT-IN-MAD-0013,f6d70f52-9976-4fd5-ab47-5f41c2c3c8cd,224.66599992,7.0,221.0,194.5,0.0,329.0,6.0,0.5,0.0,0.0,0.05,0.1,0.85,1.0,IND_FIRE,Tier_A_RuleDerived,high_frp_industrial_fire
EVT-2026-5807B8,spatial_grid_18_155,21213.68571634,0.0,1.36,1.36,0.0,313.85,0.0,0.0,0.0,0.0,0.15,0.8,0.05,0.0,WILDFIRE,Tier_A_RuleDerived,forest_canopy_fire
EVT-IN-KAR-891AC825,df3c5512-1ef8-4adc-8ad3-b86592dbed4e,354.84417825,32.0,1.48,1.46921875,0.1170666666666666,301.93,71.44857968166667,0.0,2.0,1.88,0.05,0.1,0.85,1.0,IND_ROUTINE,Tier_A_RuleDerived,nominal_steady_furnace_routine
EVT-IN-TAM-CAC1FE9A,spatial_grid_17_154,7440.01403727,0.0,2.81,2.81,0.0,331.74,102.23475365166668,1.0,0.0,0.0,0.15,0.8,0.05,0.0,WILDFIRE,Tier_A_RuleDerived,forest_canopy_fire
EVT-IN-ODI-37E1BF47,spatial_grid_41_170,8515.3269428,0.0,11.97,2.773000000013038,11.766251,352.45,20.165246348333334,0.25,1.0,2.64,0.05,0.1,0.85,1.0,IND_FLARE,Tier_A_RuleDerived,elevated_industrial_flare
EVT-IN-TAM-9D1668AB,spatial_grid_24_153,17995.7551909,0.0,1.61,1.61,0.0,331.26,12.084753651666668,1.0,0.0,0.0,0.15,0.8,0.05,0.0,WILDFIRE,Tier_A_RuleDerived,forest_canopy_fire
EVT-IN-TAM-B7D95AFA,spatial_grid_17_155,7043.86554439,0.0,1.37,1.37,0.0,335.65,91.18475365166668,1.0,0.0,0.0,0.15,0.8,0.05,0.0,WILDFIRE,Tier_A_RuleDerived,forest_canopy_fire
EVT-IN-TAM-7D250DBF,spatial_grid_19_156,8430.33920511,0.0,5.83,5.665,0.027225,333.9,103.881913015,1.0,0.0,0.0,0.1,0.05,0.85,0.0,OTHER_UNCERTAIN,Tier_B_HardNegative,hard_neg_urban_non_ind
EVT-IN-WES-E684D4E3,spatial_grid_47_174,5785.59287017,0.0,4.9,3.97,3.460855555555556,309.47,70.88475365166666,0.5,0.0,0.0,0.05,0.1,0.85,1.0,IND_ROUTINE,Tier_A_RuleDerived,nominal_steady_furnace_routine
EVT-IN-RAJ-26ECB799,5a218a2b-c326-498e-8546-0d9630ad9c1e,442.49317505,32.0,1.49,0.8007142857142856,0.1236888888888888,295.01,18.431913015,0.0,0.0,0.0,0.05,0.1,0.85,1.0,IND_ROUTINE,Tier_A_RuleDerived,nominal_steady_furnace_routine
EVT-IN-TAM-DB9806DE,spatial_grid_18_155,30009.12298496,0.0,3.24,3.24,0.0,334.6,55.09857968166667,1.0,0.0,0.0,0.15,0.8,0.05,0.0,WILDFIRE,Tier_A_RuleDerived,forest_canopy_fire
EVT-IN-TAM-C00EB435,6f6c79e4-a169-4809-8d99-10aea66d5654,2193.03003553,81.0,4.9,4.465,0.189225,338.85,75.18475365166667,1.0,0.0,0.0,0.05,0.1,0.85,1.0,IND_ROUTINE,Tier_A_RuleDerived,nominal_steady_furnace_routine
EVT-IN-ODI-AC2A3EAD,spatial_grid_41_172,3996.19639386,0.0,4.14,4.14,0.0,307.47,43.548579681666666,0.0,0.0,0.0,0.05,0.1,0.85,1.0,IND_ROUTINE,Tier_A_RuleDerived,nominal_steady_furnace_routine
EVT-IN-WES-42D23E2B,8109d87d-ebd4-48d6-92bf-3f12bc60749e,3282.26958586,32.0,14.28,9.076483516483515,14.308151473922903,343.58,19.431913015,0.1904761904761904,1.0,2.46,0.05,0.1,0.85,1.0,IND_FLARE,Tier_A_RuleDerived,elevated_industrial_flare
EVT-IN-MAH-2FB2242F,spatial_grid_38_145,4526.15468093,0.0,25.4,25.4,0.0,315.5,120.43475365166668,0.0,0.0,0.0,0.1,0.05,0.85,0.0,OTHER_UNCERTAIN,Tier_A_RuleDerived,transient_unassociated
EVT-IN-NON-C7B6C830,8c1619b0-7630-4c2b-aead-4842225a3e3a,1542.01717775,32.0,2.89,2.1157777777777778,0.560675,307.93,71.35,0.0,1.0,2.89,0.05,0.1,0.85,1.0,IND_ROUTINE,Tier_A_RuleDerived,nominal_steady_furnace_routine
EVT-IN-KAR-A944D2B0,6e02687c-ca01-43e0-b711-603a4cb9febb,677.28583417,32.0,7.11,2.4444856977059795,1.740013148788928,300.4,132.7347536516667,0.0352941176470588,0.0,0.0,0.05,0.1,0.85,1.0,IND_ROUTINE,Tier_A_RuleDerived,nominal_steady_furnace_routine
EVT-2026-34105F,b91eb7d1-578b-43c0-bbb2-04086b4b1dff,783.84940317,72.0,7.11,2.515631756836149,2.149674985122,338.03,12.866666666666667,0.0985915492957746,1.0,7.11,0.05,0.1,0.85,1.0,IND_ROUTINE,Tier_A_RuleDerived,nominal_steady_furnace_routine
EVT-IN-WES-E0C61DCA,6b7d6271-d859-4425-9aeb-5e8ea53fccb5,3083.49436907,81.0,2.02,2.02,0.0,301.23,106.931913015,0.0,0.0,0.0,0.05,0.1,0.85,1.0,IND_ROUTINE,Tier_A_RuleDerived,nominal_steady_furnace_routine
EVT-IN-TAM-4147CD65,spatial_grid_18_154,14128.19379642,0.0,1.61,1.61,0.0,331.96,66.45142031833333,1.0,0.0,0.0,0.15,0.8,0.05,0.0,WILDFIRE,Tier_A_RuleDerived,forest_canopy_fire
EVT-IN-GUJ-80E5CC19,f3a23ad9-9585-4718-80e5-235550f19b17,2199.16358804,32.0,4.01,2.0346666666665403,0.8973728395061727,309.44,1.0666666666666669,0.0,1.0,4.01,0.05,0.1,0.85,1.0,IND_ROUTINE,Tier_A_RuleDerived,nominal_steady_furnace_routine
EVT-IN-KAR-22F89899,6e02687c-ca01-43e0-b711-603a4cb9febb,872.5902216,32.0,5.52,2.3508616780045357,1.0510481404958678,340.96,81.25,0.0909090909090909,5.0,7.11,0.05,0.1,0.85,1.0,IND_ROUTINE,Tier_A_RuleDerived,nominal_steady_furnace_routine
EVT-IN-WES-A8A6C962,9a68179a-3b46-4cc6-a6e5-54206f37cc3f,2340.24507232,72.0,1.98,1.846666666666667,0.0088888888888888,309.68,12.951420318333334,0.0,0.0,0.0,0.05,0.1,0.85,1.0,IND_ROUTINE,Tier_A_RuleDerived,nominal_steady_furnace_routine
EVT-IN-UTT-000E,1d1f3af7-39c2-48c1-89d0-1f0e7b6b5355,104.86237312,92.0,89.8,79.0,0.0,328.4,21.0,0.5,0.0,0.0,0.05,0.1,0.85,1.0,IND_FLARE,Tier_A_RuleDerived,elevated_industrial_flare
EVT-IN-UTT-52BECDE3,spatial_grid_57_154,4094.39379102,0.0,10.5,10.5,0.0,330.1,25.731913015,1.0,0.0,0.0,0.1,0.05,0.85,0.0,OTHER_UNCERTAIN,Tier_A_RuleDerived,transient_unassociated
EVT-IN-TAM-0F52CC38,spatial_grid_23_157,65054.97920987,0.0,12.68,10.465,4.906224999999999,338.89,0.9166666666666666,1.0,0.0,0.0,0.15,0.8,0.05,0.0,WILDFIRE,Tier_A_RuleDerived,forest_canopy_fire
EVT-IN-TAM-7D53E09D,spatial_grid_24_157,64829.54357632,0.0,22.47,22.47,0.0,348.36,0.0,1.0,0.0,0.0,0.15,0.8,0.05,0.0,WILDFIRE,Tier_A_RuleDerived,forest_canopy_fire
EVT-IN-TAM-CF1F7FDA,spatial_grid_23_157,77717.06814369,0.0,4.3,3.2,1.2099999999999995,331.27,111.18475365166668,1.0,0.0,0.0,0.15,0.8,0.05,0.0,WILDFIRE,Tier_A_RuleDerived,forest_canopy_fire
EVT-IN-TAM-D5E8E133,spatial_grid_22_153,23030.17639331,0.0,5.04,5.04,0.0,332.31,84.218086985,1.0,0.0,0.0,0.15,0.8,0.05,0.0,WILDFIRE,Tier_A_RuleDerived,forest_canopy_fire
EVT-IN-TAM-76D148A7,spatial_grid_21_157,81461.40458639,0.0,3.35,3.35,0.0,335.81,149.18475365166665,1.0,0.0,0.0,0.1,0.05,0.85,0.0,OTHER_UNCERTAIN,Tier_B_HardNegative,hard_neg_urban_non_ind
EVT-IN-ASS-72714087,spatial_grid_53_186,83025.97996781,0.0,1.84,1.84,0.0,332.56,32.515246348333335,1.0,0.0,0.0,0.15,0.8,0.05,0.0,WILDFIRE,Tier_A_RuleDerived,forest_canopy_fire
